url,status,bucket,region,key,details
"https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_960407_INTROALASBIOMOLECULASJeffHardin,GregoryBertoni-BeckersWorldoftheCell-Pearson(2018).pdf",DELETE_MARKED,miu-documentos,us-west-2,"DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_960407_INTROALASBIOMOLECULASJeffHardin,GregoryBertoni-BeckersWorldoftheCell-Pearson(2018).pdf",latest_delete_marker=2025-12-28 02:19:48+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143342/16860249/miuDocumento_996129_captulo1ElliberalismoenGuatemalaCastellanos.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143342/16860249/miuDocumento_996129_captulo1ElliberalismoenGuatemalaCastellanos.pdf,latest_delete_marker=2025-12-17 18:12:39+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143342/16860249/miuDocumento_996130_Evolucindelasideassurgimientodelliberalismo.pptx,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143342/16860249/miuDocumento_996130_Evolucindelasideassurgimientodelliberalismo.pptx,latest_delete_marker=2026-01-01 23:48:54+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_996955_difusio_nsimpleyTP.9aed.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_996955_difusio_nsimpleyTP.9aed.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,latest_delete_marker=2025-12-30 21:59:02+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144844/20110699/miuDocumento_996149_Class1_EastwindTradingCompanyA-20251218T033843Z-3-001.zip,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/144844/20110699/miuDocumento_996149_Class1_EastwindTradingCompanyA-20251218T033843Z-3-001.zip,"size=3204376 last_modified=2025-12-19 02:09:15+00:00 etag=""f0d5ce41a94b9a8087c4375ec21b76f2"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143320/22810023/miuDocumento_996311_02.2YoLapiz.pdf,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143320/22810023/miuDocumento_996311_02.2YoLapiz.pdf,"size=13789765 last_modified=2025-12-21 17:26:54+00:00 etag=""15e0f4699057eea84c1e67c6e2767e8a"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144708/20180351/miuDocumento_996391_1.KennethN.WaltzTheoryofInternationalPoliticsAddison-Wesleyseriesinpoliticalscience1979.pdf,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/144708/20180351/miuDocumento_996391_1.KennethN.WaltzTheoryofInternationalPoliticsAddison-Wesleyseriesinpoliticalscience1979.pdf,"size=2911660 last_modified=2025-12-25 01:39:45+00:00 etag=""0959016ca984b6f07be92c3d7a0769c8"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144708/20180351/miuDocumento_996398_7.RodrikD.TheGlobalizationParadox.pdf,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/144708/20180351/miuDocumento_996398_7.RodrikD.TheGlobalizationParadox.pdf,"size=168783642 last_modified=2025-12-26 17:59:38+00:00 etag=""02596c576b2d46165dd112dba3a89e16-17"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_996994_gluco_lisis.9aed.2018.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_996994_gluco_lisis.9aed.2018.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,latest_delete_marker=2026-01-01 17:43:59+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143722/23820040/miuDocumento_996994_gluco_lisis.9aed.2018.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143722/23820040/miuDocumento_996994_gluco_lisis.9aed.2018.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,latest_delete_marker=2026-01-01 17:49:27+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143721/23820040/miuDocumento_996994_gluco_lisis.9aed.2018.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143721/23820040/miuDocumento_996994_gluco_lisis.9aed.2018.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,latest_delete_marker=2026-01-01 17:49:12+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_997021_TRANSCRIPCION.MolecularBiologyoftheCell6thedition-Alberts-NEWcopy.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_997021_TRANSCRIPCION.MolecularBiologyoftheCell6thedition-Alberts-NEWcopy.pdf,latest_delete_marker=2026-01-01 18:18:00+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143722/23820040/miuDocumento_997021_TRANSCRIPCION.MolecularBiologyoftheCell6thedition-Alberts-NEWcopy.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143722/23820040/miuDocumento_997021_TRANSCRIPCION.MolecularBiologyoftheCell6thedition-Alberts-NEWcopy.pdf,latest_delete_marker=2026-01-01 18:16:46+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143721/23820040/miuDocumento_997021_TRANSCRIPCION.MolecularBiologyoftheCell6thedition-Alberts-NEWcopy.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143721/23820040/miuDocumento_997021_TRANSCRIPCION.MolecularBiologyoftheCell6thedition-Alberts-NEWcopy.pdf,latest_delete_marker=2026-01-01 18:17:12+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143721/23820040/miuDocumento_997066_RRNAYTRNAPROCESSINGJeffHardinGregoryBertoni-BeckersWorldoftheCell-Pearson2018.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143721/23820040/miuDocumento_997066_RRNAYTRNAPROCESSINGJeffHardinGregoryBertoni-BeckersWorldoftheCell-Pearson2018.pdf,latest_delete_marker=2026-01-01 18:38:54+00:00
