MIU_DOCUMENTOS,PATH_ADUNTO,s3_key,motivo
995446,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/136208/20090970/miuDocumento_944218_Â¿QueeslaIlustracion?-Foucault_958669_980238_995446.pdf,DATA-DOCS/miu-hml/documentos/136208/20090970/miuDocumento_944218_Â¿QueeslaIlustracion,NoSuchKey/404
995448,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/136208/20090970/miuDocumento_944218_Â¿QueeslaIlustracion?-Foucault_958669_980238_995448.pdf,DATA-DOCS/miu-hml/documentos/136208/20090970/miuDocumento_944218_Â¿QueeslaIlustracion,NoSuchKey/404
995361,"https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/133191/20010364/miuDocumento_924806_mariolaborda,+Journal+manager,+17432-51259-1-CE_981673_995361.pdf","DATA-DOCS/miu-hml/documentos/133191/20010364/miuDocumento_924806_mariolaborda,+Journal+manager,+17432-51259-1-CE_981673_995361.pdf",NoSuchKey/404
996367,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143740/20141005/miuDocumento_938592_GUI?A-VANCOUVER-UIA_961567.pdf,DATA-DOCS/miu-hml/documentos/143740/20141005/miuDocumento_938592_GUI,NoSuchKey/404
997867,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143817/20030650/miuDocumento_745125_ORTOGRAFI?A_DE_LA_LENGUA_ESPAN?OLA_RAE[1]_924326_960160_982438.pdf,DATA-DOCS/miu-hml/documentos/143817/20030650/miuDocumento_745125_ORTOGRAFI,NoSuchKey/404
997871,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143817/20030650/miuDocumento_925163_EJERCICIO2TE?CNICADELCUBO_960164_982442.docx,DATA-DOCS/miu-hml/documentos/143817/20030650/miuDocumento_925163_EJERCICIO2TE,NoSuchKey/404
997435,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143699/30920008/miuDocumento_894871_2022-01-25-gobernanzacorporativa-co?digodecomercio_924120_959245.pptx,DATA-DOCS/miu-hml/documentos/143699/30920008/miuDocumento_894871_2022-01-25-gobernanzacorporativa-co,NoSuchKey/404
995499,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/136208/20090970/miuDocumento_944218_Â¿QueeslaIlustracion?-Foucault_958669_980238_995499.pdf,DATA-DOCS/miu-hml/documentos/136208/20090970/miuDocumento_944218_Â¿QueeslaIlustracion,NoSuchKey/404
997456,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143699/30920008/miuDocumento_894871_2022-01-25-gobernanzacorporativa-co?digodecomercio_924120_959245.pptx,DATA-DOCS/miu-hml/documentos/143699/30920008/miuDocumento_894871_2022-01-25-gobernanzacorporativa-co,NoSuchKey/404
