MIU_DOCUMENTOS,PATH_ADUNTO,s3_key,motivo
1001370,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/145111/20041076/miuDocumento_855958_Ideasinteresantes_861991_909365_922136_926934_972684_977163_979698_985977_990667.docx,DATA-DOCS/miu-hml/documentos/145111/20041076/miuDocumento_855958_Ideasinteresantes_861991_909365_922136_926934_972684_977163_979698_985977_990667.docx,NoSuchKey/404
1000044,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144252/12910158/miuDocumento_988423_EconomicFreedomandInterventionism.pdf,DATA-DOCS/miu-hml/documentos/144252/12910158/miuDocumento_988423_EconomicFreedomandInterventionism.pdf,NoSuchKey/404
1000043,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144252/12910158/miuDocumento_987564_FinancialEconomicsMarkSkousen_987568.pdf,DATA-DOCS/miu-hml/documentos/144252/12910158/miuDocumento_987564_FinancialEconomicsMarkSkousen_987568.pdf,NoSuchKey/404
999829,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143022/23810061/miuDocumento_999725_CONSENTIMIENTOINFORMADOADULTOS2026.pdf,DATA-DOCS/miu-hml/documentos/143022/23810061/miuDocumento_999725_CONSENTIMIENTOINFORMADOADULTOS2026.pdf,NoSuchKey/404
998921,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143391/20150959/miuDocumento_886742_feelings_inventory.pdf,DATA-DOCS/miu-hml/documentos/143391/20150959/miuDocumento_886742_feelings_inventory.pdf,NoSuchKey/404
